student_id,amount,payment_date,method
ST00549,3500,2025-07-12,Mobile
ST00550,3500,2025-03-25,Mobile
ST00551,3500,2025-06-24,Mobile
ST00552,3500,2025-06-11,Bank Transfer
ST00553,3000,2025-01-29,Mobile
ST00554,3000,2025-04-08,Mobile
ST00555,3500,2025-03-01,Mobile
ST00556,4000,2025-03-15,Bank Transfer
ST00557,3000,2025-07-12,Cash
ST00558,4000,2025-06-29,Bank Transfer
ST00559,3000,2025-03-19,Cash
ST00560,3000,2025-02-06,Cash
ST00561,3000,2025-01-20,Bank Transfer
ST00562,3500,2025-06-09,Cash
ST00563,4000,2025-02-11,Bank Transfer
ST00564,3500,2025-04-23,Cash
ST00565,4000,2025-05-14,Bank Transfer
ST00566,4000,2025-06-03,Bank Transfer
ST00567,4000,2025-05-27,Mobile
ST00568,4000,2025-04-29,Mobile
ST00569,4000,2025-06-02,Bank Transfer
ST00570,3500,2025-02-26,Cash
ST00571,3000,2025-03-29,Bank Transfer
ST00572,3000,2025-04-05,Cash
ST00573,3000,2025-02-25,Bank Transfer
ST00574,3500,2025-05-23,Cash
ST00575,4000,2025-01-23,Cash
ST00576,3000,2025-04-22,Bank Transfer
ST00577,3500,2025-02-09,Cash
ST00578,3000,2025-04-27,Bank Transfer
ST00579,4000,2025-06-01,Mobile
ST00580,4000,2025-02-03,Mobile
ST00581,4000,2025-04-01,Cash
ST00582,3000,2025-06-18,Bank Transfer
ST00583,4000,2025-05-07,Cash
ST00584,4000,2025-03-01,Cash
ST00585,3000,2025-02-13,Cash
ST00586,3500,2025-03-03,Cash
ST00587,3000,2025-06-12,Bank Transfer
ST00588,3500,2025-06-16,Cash
ST00589,3000,2025-05-27,Cash
ST00590,4000,2025-07-09,Bank Transfer
ST00591,4000,2025-05-27,Bank Transfer
ST00592,4000,2025-05-01,Bank Transfer
ST00593,3500,2025-07-18,Bank Transfer
ST00594,3000,2025-05-01,Mobile
ST00595,4000,2025-04-16,Mobile
ST00596,3000,2025-06-23,Bank Transfer
ST00597,4000,2025-03-07,Cash
ST00598,3000,2025-04-07,Cash
ST00599,3500,2025-06-29,Cash
ST00600,4000,2025-01-21,Mobile
ST00601,3500,2025-03-18,Mobile
ST00602,3000,2025-05-12,Cash
ST00603,3500,2025-04-13,Cash
ST00604,3500,2025-06-29,Cash
ST00605,3500,2025-03-19,Bank Transfer
ST00606,3000,2025-05-18,Cash
ST00607,3500,2025-06-26,Bank Transfer
ST00608,3500,2025-07-03,Cash
ST00609,4000,2025-03-02,Bank Transfer
ST00610,3500,2025-02-19,Mobile
ST00611,4000,2025-02-21,Cash
ST00612,3500,2025-01-16,Cash
ST00613,4000,2025-06-30,Cash
ST00614,4000,2025-05-25,Mobile
ST00615,4000,2025-03-23,Bank Transfer
ST00616,4000,2025-06-18,Cash
ST00617,4000,2025-02-20,Bank Transfer
ST00618,3000,2025-02-27,Mobile
ST00619,4000,2025-03-03,Cash
ST00620,3500,2025-01-29,Mobile
ST00621,4000,2025-03-06,Bank Transfer
ST00622,3500,2025-02-13,Mobile
ST00623,3500,2025-04-25,Bank Transfer
ST00624,3000,2025-03-06,Mobile
ST00625,4000,2025-05-17,Mobile
ST00626,3500,2025-05-26,Bank Transfer
ST00627,3000,2025-01-29,Cash
ST00628,3500,2025-01-27,Cash
ST00629,3000,2025-06-09,Cash
ST00630,4000,2025-03-08,Mobile
ST00631,4000,2025-04-08,Bank Transfer
ST00632,3500,2025-04-25,Bank Transfer
ST00633,3500,2025-07-03,Mobile
ST00634,3000,2025-03-26,Cash
ST00635,4000,2025-05-05,Mobile
ST00636,4000,2025-01-05,Cash
ST00637,3000,2025-06-13,Mobile
ST00638,3000,2025-04-21,Bank Transfer
ST00639,3000,2025-01-21,Cash
ST00640,4000,2025-05-05,Mobile
ST00641,3500,2025-05-11,Mobile
ST00642,3500,2025-03-19,Cash
ST00643,3000,2025-02-19,Bank Transfer
ST00644,3000,2025-04-17,Mobile
ST00645,3000,2025-01-14,Mobile
ST00646,3000,2025-01-25,Bank Transfer
ST00647,4000,2025-03-18,Cash
ST00648,3000,2025-06-20,Cash
ST00649,4000,2025-06-05,Mobile
ST00650,3000,2025-01-01,Cash
ST00651,3500,2025-01-30,Cash
ST00652,3000,2025-05-09,Bank Transfer
ST00653,4000,2025-04-28,Cash
ST00654,4000,2025-04-24,Bank Transfer
ST00655,3500,2025-04-05,Bank Transfer
ST00656,4000,2025-03-17,Mobile
ST00657,4000,2025-02-03,Bank Transfer
ST00658,4000,2025-01-28,Bank Transfer
ST00659,3500,2025-01-21,Mobile
ST00660,3000,2025-01-23,Bank Transfer
ST00661,3500,2025-03-05,Cash
ST00662,3000,2025-05-21,Mobile
ST00663,4000,2025-06-23,Bank Transfer
ST00664,3000,2025-02-27,Bank Transfer
ST00665,3500,2025-05-18,Cash
ST00666,4000,2025-01-24,Mobile
ST00667,3500,2025-05-27,Bank Transfer
ST00668,4000,2025-01-30,Bank Transfer
ST00669,3000,2025-01-04,Cash
ST00670,3500,2025-04-21,Mobile
ST00671,3500,2025-01-22,Cash
ST00672,3500,2025-01-06,Mobile
ST00673,3000,2025-07-06,Cash
ST00674,3500,2025-01-07,Bank Transfer
ST00675,4000,2025-07-04,Mobile
