student_id,date,status
ST04637,2025-12-24,Absent
ST01053,2025-10-11,Present
ST02930,2025-09-27,Absent
ST00964,2025-12-22,Present
ST02528,2025-11-04,Absent
ST01514,2025-10-14,Present
ST04308,2025-11-19,Late
ST01434,2025-09-13,Absent
ST04848,2025-09-26,Present
ST03462,2025-12-20,Present
ST03175,2025-09-13,Absent
ST04665,2025-11-11,Late
ST04729,2025-09-02,Absent
ST03178,2025-11-05,Present
ST03587,2025-09-20,Late
ST03340,2025-11-26,Absent
ST00544,2025-12-04,Absent
ST01088,2025-12-29,Present
ST00630,2025-09-21,Present
ST03696,2025-12-13,Present
ST04347,2025-10-28,Late
ST02822,2025-11-21,Late
ST00002,2025-09-24,Absent
ST00560,2025-12-21,Absent
ST02186,2025-10-08,Late
ST01936,2025-12-29,Late
ST04006,2025-11-28,Present
ST02693,2025-11-03,Late
ST00422,2025-09-13,Absent
ST01229,2025-12-28,Late
ST04489,2025-10-10,Late
ST04220,2025-11-08,Absent
ST04143,2025-10-22,Absent
ST04576,2025-10-01,Absent
ST03871,2025-09-16,Present
ST00248,2025-09-16,Late
ST04133,2025-11-18,Late
ST01050,2025-09-27,Present
ST04551,2025-12-01,Absent
ST02747,2025-11-15,Present
ST01101,2025-12-20,Absent
ST01960,2025-10-20,Present
ST01369,2025-12-13,Present
ST04912,2025-10-14,Present
ST02730,2025-09-30,Late
ST01060,2025-10-26,Absent
ST00768,2025-10-01,Absent
ST00819,2025-12-06,Absent
ST02636,2025-11-27,Absent
ST03808,2025-11-24,Late
ST03974,2025-11-20,Absent
ST02217,2025-10-13,Present
ST00651,2025-11-01,Late
ST02684,2025-10-07,Present
ST00054,2025-09-26,Late
ST00789,2025-12-26,Absent
ST03848,2025-09-10,Late
ST02277,2025-09-23,Present
ST02255,2025-12-03,Present
ST02697,2025-11-13,Absent
ST03804,2025-09-15,Absent
ST04341,2025-12-21,Absent
ST03923,2025-10-11,Present
ST02929,2025-09-30,Present
ST01873,2025-11-10,Late
ST00299,2025-10-23,Absent
ST02814,2025-11-24,Late
ST03753,2025-12-26,Late
ST03606,2025-12-21,Absent
ST02028,2025-09-02,Late
ST02506,2025-09-13,Late
ST01903,2025-12-07,Present
ST00481,2025-09-05,Absent
ST01756,2025-09-10,Late
ST01757,2025-11-29,Late
ST04166,2025-12-08,Absent
ST04927,2025-12-23,Late
ST02911,2025-09-23,Present
ST00716,2025-10-02,Late
ST00451,2025-10-02,Late
ST01148,2025-11-21,Present
ST01129,2025-12-24,Absent
ST04214,2025-09-23,Present
ST02664,2025-11-28,Absent
ST02101,2025-11-11,Absent
ST03052,2025-10-20,Present
ST04782,2025-10-16,Present
ST00803,2025-09-04,Absent
ST03949,2025-12-22,Present
ST03263,2025-09-07,Late
ST00401,2025-11-07,Absent
ST02340,2025-12-09,Absent
ST03707,2025-11-17,Present
ST01905,2025-12-22,Late
ST03515,2025-11-30,Absent
ST01762,2025-09-02,Present
ST01821,2025-12-18,Absent
ST00797,2025-10-25,Late
ST02206,2025-11-24,Absent
ST01016,2025-09-25,Present
ST04923,2025-11-24,Late
ST00346,2025-12-05,Absent
ST02345,2025-11-27,Absent
ST01443,2025-10-28,Late
ST00061,2025-11-16,Present
ST03889,2025-11-19,Late
ST00731,2025-09-21,Absent
ST01723,2025-11-03,Absent
ST01517,2025-11-13,Late
ST04835,2025-09-27,Late
ST02411,2025-11-26,Absent
ST02103,2025-11-16,Absent
ST03824,2025-09-13,Late
ST02349,2025-12-24,Present
ST00270,2025-09-17,Absent
ST02875,2025-10-17,Late
ST01831,2025-09-11,Present
ST00169,2025-12-23,Present
ST02249,2025-09-26,Absent
ST01911,2025-10-18,Present
ST01736,2025-10-08,Late
ST02967,2025-11-02,Present
ST03855,2025-09-19,Late
ST03042,2025-12-10,Absent
ST01169,2025-09-03,Present
ST02284,2025-09-04,Late
ST03808,2025-09-22,Present
ST00035,2025-11-11,Late
ST03008,2025-11-15,Present
ST01065,2025-10-13,Late
ST01826,2025-09-18,Late
ST00906,2025-10-01,Late
ST04428,2025-11-06,Absent
ST01814,2025-10-12,Absent
ST00290,2025-09-05,Late
ST01517,2025-11-22,Present
ST02911,2025-09-03,Absent
ST03288,2025-11-12,Present
ST02551,2025-12-11,Late
ST00718,2025-12-27,Absent
ST00510,2025-11-06,Late
ST03917,2025-09-26,Absent
ST03592,2025-09-12,Present
ST04544,2025-12-12,Late
ST00915,2025-12-15,Present
ST02087,2025-09-21,Late
ST04386,2025-11-20,Present
ST03078,2025-12-24,Absent
ST00750,2025-10-26,Absent
ST01535,2025-09-17,Absent
ST01410,2025-12-14,Late
ST03453,2025-09-09,Present
ST00674,2025-11-06,Absent
ST01123,2025-11-22,Present
ST00280,2025-12-26,Absent
ST03204,2025-12-07,Late
ST04144,2025-10-29,Absent
ST01717,2025-10-20,Late
ST04302,2025-10-03,Absent
ST02812,2025-10-21,Late
ST02443,2025-10-02,Present
ST04388,2025-11-16,Absent
ST04583,2025-12-14,Late
ST02855,2025-11-05,Late
ST01165,2025-12-26,Present
ST00288,2025-12-27,Present
ST00348,2025-12-22,Present
ST02047,2025-11-14,Late
ST04759,2025-10-17,Late
ST01257,2025-11-14,Present
ST02744,2025-12-05,Late
ST01087,2025-09-22,Absent
ST04508,2025-12-26,Late
ST02348,2025-12-07,Present
ST01335,2025-09-27,Present
ST02310,2025-12-11,Absent
ST04344,2025-10-26,Absent
ST02252,2025-11-01,Present
ST01732,2025-10-21,Late
ST03144,2025-12-07,Late
ST02962,2025-12-22,Late
ST04622,2025-09-10,Present
ST01208,2025-10-05,Present
ST02340,2025-11-29,Absent
ST00887,2025-09-07,Present
ST00842,2025-09-29,Present
ST04773,2025-11-07,Absent
ST01138,2025-09-04,Late
ST00797,2025-10-27,Absent
ST04030,2025-10-17,Absent
ST02371,2025-11-13,Late
ST00804,2025-11-11,Absent
ST03514,2025-10-18,Late
ST01986,2025-11-12,Present
ST03153,2025-10-05,Present
ST01200,2025-10-16,Absent
ST00756,2025-09-14,Present
ST00673,2025-10-25,Present
ST02940,2025-12-20,Late
ST01981,2025-09-11,Absent
ST02543,2025-11-17,Absent
ST00551,2025-12-21,Present
ST00982,2025-12-09,Late
ST00746,2025-10-03,Absent
ST01748,2025-10-13,Late
ST00190,2025-12-02,Late
ST04300,2025-10-26,Late
ST00750,2025-11-24,Present
ST02836,2025-10-28,Late
ST04739,2025-11-20,Present
ST02901,2025-12-06,Late
ST01466,2025-09-15,Absent
ST04299,2025-12-18,Absent
ST00269,2025-11-16,Absent
ST04645,2025-12-15,Absent
ST01984,2025-12-01,Present
ST04059,2025-09-05,Absent
ST04961,2025-12-23,Late
ST03555,2025-12-25,Absent
ST00851,2025-11-10,Absent
ST00400,2025-09-22,Present
ST02562,2025-10-09,Present
ST00318,2025-09-07,Present
ST01246,2025-09-29,Absent
ST01966,2025-11-12,Absent
ST04226,2025-10-24,Present
ST02810,2025-10-20,Present
ST02608,2025-10-07,Late
ST02134,2025-09-29,Absent
ST02992,2025-10-16,Late
ST04108,2025-09-08,Absent
ST01606,2025-10-13,Late
ST00868,2025-11-18,Absent
ST01951,2025-09-18,Late
ST02878,2025-12-12,Absent
ST01666,2025-12-21,Absent
ST01718,2025-10-23,Late
ST02805,2025-10-13,Late
ST01273,2025-12-25,Late
ST00404,2025-09-23,Absent
ST00870,2025-12-10,Absent
ST01481,2025-10-13,Late
ST02157,2025-09-01,Absent
ST04937,2025-12-10,Present
ST04464,2025-11-11,Absent
ST00145,2025-10-21,Absent
ST00488,2025-09-27,Present
ST04012,2025-10-28,Absent
ST02084,2025-10-21,Present
ST01120,2025-12-11,Absent
ST02046,2025-09-04,Absent
ST00745,2025-12-28,Late
ST00876,2025-12-05,Present
ST03798,2025-12-17,Present
ST00293,2025-10-07,Present
ST03478,2025-11-09,Present
ST00793,2025-11-15,Present
ST04252,2025-10-11,Absent
ST04781,2025-12-23,Present
ST00698,2025-10-21,Late
ST04344,2025-10-03,Absent
ST01276,2025-10-13,Late
ST02497,2025-10-26,Absent
ST03016,2025-11-26,Late
ST04136,2025-10-26,Absent
ST03842,2025-10-24,Absent
ST02307,2025-11-27,Absent
ST00411,2025-09-05,Absent
ST04251,2025-09-11,Late
ST02543,2025-11-10,Late
ST02828,2025-09-05,Late
ST03552,2025-10-12,Late
ST02011,2025-12-08,Present
ST01237,2025-11-05,Late
ST02927,2025-11-10,Present
ST03126,2025-09-14,Late
ST04627,2025-09-18,Absent
ST00105,2025-09-11,Late
ST03590,2025-10-25,Late
ST01773,2025-12-17,Absent
ST00582,2025-11-01,Absent
ST01933,2025-09-22,Present
ST03670,2025-12-12,Present
ST01265,2025-09-13,Absent
ST01960,2025-12-21,Absent
ST00753,2025-09-29,Absent
ST03248,2025-12-07,Absent
ST02160,2025-11-15,Absent
ST04436,2025-10-20,Absent
ST01297,2025-10-15,Present
ST02684,2025-09-25,Absent
ST04192,2025-11-09,Absent
ST03963,2025-09-24,Late
ST02721,2025-09-19,Late
ST02943,2025-12-20,Late
ST00439,2025-12-25,Present
ST00488,2025-09-28,Absent
ST03321,2025-12-19,Present
ST00875,2025-12-12,Late
ST00506,2025-10-27,Present
ST04115,2025-12-29,Late
ST02491,2025-11-26,Absent
ST02402,2025-11-30,Late
ST01185,2025-09-18,Absent
ST01674,2025-09-14,Absent
ST02757,2025-12-25,Present
ST04684,2025-11-04,Absent
ST03723,2025-10-21,Present
ST03032,2025-09-29,Absent
ST01866,2025-10-23,Absent
ST02988,2025-11-15,Absent
ST03445,2025-11-15,Absent
ST04819,2025-10-09,Late
ST04037,2025-09-26,Present
ST01954,2025-10-18,Present
ST04857,2025-11-11,Present
ST03405,2025-10-05,Late
ST00736,2025-10-16,Present
ST03673,2025-12-07,Present
ST01344,2025-12-08,Absent
ST00748,2025-12-03,Late
ST04971,2025-09-17,Absent
ST02581,2025-12-16,Present
ST00862,2025-12-17,Late
ST00820,2025-12-17,Present
ST01980,2025-10-25,Present
ST01073,2025-10-23,Present
ST00021,2025-10-30,Late
ST01487,2025-12-30,Late
ST01863,2025-10-11,Late
ST02388,2025-09-04,Present
ST00816,2025-10-27,Present
ST04760,2025-11-01,Late
ST00996,2025-10-04,Absent
ST00247,2025-09-08,Present
ST00514,2025-11-02,Absent
ST01355,2025-12-03,Absent
ST04015,2025-09-03,Late
ST03364,2025-09-11,Present
ST00794,2025-09-03,Absent
ST00854,2025-11-17,Late
ST04507,2025-09-03,Absent
ST00119,2025-09-04,Absent
ST04009,2025-09-08,Absent
ST02360,2025-09-13,Absent
ST01059,2025-10-19,Late
ST04603,2025-10-03,Absent
ST03396,2025-10-14,Absent
ST00541,2025-12-21,Late
ST00186,2025-09-04,Late
ST01438,2025-10-22,Present
ST00604,2025-11-21,Absent
ST02430,2025-11-18,Late
ST03170,2025-11-15,Absent
ST04826,2025-10-06,Present
ST03848,2025-12-05,Present
ST04570,2025-12-13,Absent
ST04354,2025-10-21,Present
ST01985,2025-10-03,Present
ST03391,2025-12-22,Absent
ST02175,2025-12-16,Present
ST01473,2025-10-02,Late
ST01962,2025-12-19,Absent
ST04944,2025-11-28,Present
ST02165,2025-10-23,Absent
ST00608,2025-12-06,Present
ST00906,2025-12-20,Absent
ST04748,2025-09-23,Present
ST04279,2025-11-16,Present
ST04129,2025-10-10,Late
ST03042,2025-12-10,Present
ST02537,2025-12-23,Late
ST04306,2025-10-30,Late
ST03230,2025-12-09,Absent
ST00309,2025-12-02,Present
ST03067,2025-09-22,Late
ST02839,2025-09-09,Late
ST01011,2025-10-07,Present
ST00637,2025-12-25,Absent
ST02517,2025-09-26,Absent
ST02685,2025-10-13,Present
ST03456,2025-09-22,Present
ST02515,2025-12-29,Absent
ST01446,2025-10-31,Late
ST01190,2025-09-06,Present
ST03454,2025-09-17,Present
ST00189,2025-12-16,Late
ST03376,2025-12-26,Present
ST04245,2025-09-04,Present
ST02320,2025-10-24,Present
ST04418,2025-11-26,Present
ST04755,2025-09-09,Late
ST02185,2025-09-09,Absent
ST04936,2025-10-21,Present
ST04329,2025-10-31,Present
ST01094,2025-09-01,Present
ST02709,2025-10-04,Present
ST02535,2025-10-31,Absent
ST00874,2025-12-24,Late
ST01281,2025-09-03,Late
ST03576,2025-10-14,Late
ST04484,2025-09-24,Present
ST02002,2025-10-29,Present
ST03781,2025-11-14,Absent
ST01243,2025-11-18,Absent
ST03394,2025-09-30,Present
ST00148,2025-11-28,Late
ST04952,2025-11-20,Present
ST00872,2025-11-04,Late
ST01935,2025-09-03,Present
ST01673,2025-11-09,Late
ST03351,2025-11-03,Absent
ST04418,2025-10-12,Absent
ST00465,2025-10-21,Present
ST00493,2025-12-13,Present
ST03250,2025-09-13,Late
ST01017,2025-12-25,Present
ST00352,2025-11-13,Late
ST03714,2025-11-01,Late
ST02253,2025-09-30,Present
ST00492,2025-10-28,Present
ST04460,2025-09-12,Absent
ST00022,2025-10-05,Late
ST00741,2025-10-04,Present
ST04404,2025-09-29,Late
ST04474,2025-09-02,Late
ST00810,2025-12-16,Present
ST01292,2025-12-24,Late
ST03986,2025-11-09,Absent
ST03213,2025-11-23,Absent
ST01205,2025-10-18,Absent
ST04810,2025-10-25,Absent
ST04545,2025-10-28,Absent
ST00418,2025-10-01,Late
ST04150,2025-11-23,Late
ST03551,2025-10-02,Present
ST02175,2025-10-11,Late
ST04963,2025-09-01,Late
ST04229,2025-10-10,Absent
ST00839,2025-12-25,Absent
ST04491,2025-10-04,Late
ST03232,2025-09-14,Absent
ST00591,2025-11-30,Present
ST03054,2025-11-30,Late
ST02822,2025-12-07,Present
ST02603,2025-10-09,Late
ST01003,2025-12-06,Late
ST01352,2025-11-21,Late
ST01167,2025-09-22,Present
ST00944,2025-11-04,Absent
ST01963,2025-12-17,Late
ST00853,2025-11-12,Late
ST03330,2025-09-17,Present
ST04256,2025-12-28,Late
ST00039,2025-12-17,Absent
ST01654,2025-11-25,Late
ST03206,2025-12-28,Absent
ST02868,2025-09-20,Late
ST01103,2025-10-19,Present
ST00194,2025-12-10,Present
ST00628,2025-10-11,Present
ST03378,2025-09-20,Late
ST00329,2025-12-25,Late
ST04924,2025-12-15,Late
ST04130,2025-11-11,Late
ST02111,2025-09-09,Late
ST03478,2025-12-11,Present
ST02902,2025-10-09,Late
ST02051,2025-11-03,Late
ST02931,2025-10-15,Absent
ST04323,2025-12-29,Present
ST03463,2025-12-21,Present
ST00183,2025-10-12,Late
ST02393,2025-09-03,Present
ST03082,2025-11-14,Present
ST03653,2025-12-23,Late
ST02081,2025-12-08,Late
ST03810,2025-09-19,Absent
ST00691,2025-11-06,Present
ST04619,2025-09-11,Present
ST01380,2025-12-16,Late
ST00539,2025-10-01,Present
ST00811,2025-11-13,Present
ST01603,2025-10-25,Present
ST01901,2025-12-14,Absent
ST00867,2025-12-25,Absent
ST03526,2025-12-03,Late
ST04212,2025-09-28,Present
ST02405,2025-11-07,Late
ST01974,2025-09-18,Late
ST01204,2025-09-13,Present
ST01480,2025-10-22,Absent
ST03096,2025-09-17,Late
ST00161,2025-10-01,Absent
ST00474,2025-12-01,Present
ST02712,2025-11-28,Late
ST00743,2025-10-31,Present
ST03914,2025-11-03,Absent
ST01252,2025-11-18,Absent
ST00477,2025-12-18,Absent
ST01048,2025-10-07,Absent
ST00363,2025-11-24,Present
ST02014,2025-11-29,Late
ST02909,2025-09-23,Absent
ST01034,2025-12-27,Present
ST00960,2025-11-25,Absent
ST04765,2025-09-29,Absent
ST01389,2025-12-07,Late
ST04833,2025-11-28,Present
ST00695,2025-11-18,Present
ST01848,2025-12-10,Absent
ST02583,2025-10-18,Present
ST03515,2025-12-22,Present
ST01413,2025-11-12,Late
ST04338,2025-10-20,Present
ST01322,2025-09-24,Present
ST04644,2025-12-15,Late
ST03563,2025-10-28,Late
ST03484,2025-09-13,Present
ST01959,2025-11-13,Absent
ST03966,2025-11-09,Late
ST02600,2025-09-10,Absent
ST02730,2025-09-07,Absent
ST02685,2025-11-21,Absent
ST04257,2025-11-30,Absent
ST03139,2025-11-29,Absent
ST03451,2025-10-31,Absent
ST01398,2025-10-22,Absent
ST02951,2025-09-24,Late
ST01444,2025-11-27,Late
ST04408,2025-10-28,Present
ST00070,2025-10-02,Late
ST04340,2025-12-24,Late
ST00800,2025-10-12,Absent
ST03458,2025-12-26,Absent
ST01280,2025-09-21,Absent
ST03378,2025-09-09,Present
ST01658,2025-12-20,Absent
ST01992,2025-10-26,Absent
ST02512,2025-10-15,Present
ST00716,2025-12-02,Absent
ST00951,2025-10-25,Absent
ST01775,2025-12-16,Absent
ST01950,2025-10-30,Late
ST03867,2025-09-10,Absent
ST01089,2025-12-14,Absent
ST02752,2025-09-17,Late
ST00083,2025-12-05,Late
ST02559,2025-09-26,Absent
ST00570,2025-10-19,Absent
ST04243,2025-09-09,Absent
ST01709,2025-10-20,Present
ST02698,2025-09-07,Present
ST00774,2025-09-16,Present
ST03817,2025-10-15,Late
ST02405,2025-09-10,Late
ST02466,2025-09-19,Late
ST01049,2025-09-17,Absent
ST00618,2025-10-14,Late
ST02144,2025-11-25,Present
ST03024,2025-12-22,Absent
ST02446,2025-11-13,Present
ST01074,2025-12-13,Absent
ST03049,2025-09-05,Absent
ST01547,2025-12-17,Late
ST01439,2025-09-12,Absent
ST04867,2025-11-20,Absent
ST05000,2025-11-04,Late
ST04573,2025-12-15,Present
ST02925,2025-09-23,Present
ST03164,2025-12-28,Present
ST03224,2025-10-09,Present
ST04471,2025-11-06,Present
ST02579,2025-12-27,Late
ST01950,2025-11-09,Late
ST03635,2025-09-15,Present
ST03600,2025-10-30,Late
ST02882,2025-10-19,Late
ST00657,2025-12-23,Absent
ST04435,2025-11-03,Late
ST04654,2025-11-10,Late
ST02099,2025-11-21,Present
ST00662,2025-10-21,Late
ST02690,2025-11-12,Late
ST04362,2025-12-21,Absent
ST00895,2025-10-05,Absent
ST02823,2025-09-26,Present
ST02670,2025-10-11,Present
ST00204,2025-11-29,Late
ST03940,2025-12-04,Late
ST03103,2025-09-25,Absent
ST00328,2025-11-12,Late
ST00141,2025-10-12,Present
ST00646,2025-12-24,Present
ST02854,2025-12-28,Absent
ST03574,2025-12-27,Absent
ST03651,2025-09-06,Late
ST01462,2025-09-14,Late
ST02623,2025-11-02,Absent
ST00647,2025-11-09,Absent
ST01500,2025-11-21,Present
ST00884,2025-10-26,Late
ST00026,2025-09-04,Absent
ST04760,2025-09-01,Absent
ST00606,2025-10-04,Late
ST01184,2025-10-03,Present
